tweet_id,label,tweet_text
1.3603420029619405e+18,1,"4,000 a day dying from the so called covid-19 vaccine reports. vaccine pfizervaccine moderna"
1.3828963348862484e+18,2,pranam message for today manifested in dhyan by truth love karm light nature consciousness fridaythoughts fridaymorning coronavirusindia covid19india ?????_???????? navratri thane ambedkarjayanti2021 modiji narendramodi secondcovidwave covaxin
1.375673411846873e+18,2,"hyderabad-based ?? has sought funds from the government to ramp up production of its indigenously developed covid-19 vaccine, covaxin . the company has written to the ??? seeking rs 100 crore to ramp up."
1.3813109011192873e+18,1,"confirmation that chinese vaccines ""dont have very high protection rates"", according to the director of the china centers for disease control, gao fu. sinovac effectiveness ""found to be as low as 50.4% by researchers in brazil""; &lt;50% is 'not useful'."
1.3621655560911913e+18,3,"lab studies suggest pfizer, moderna vaccines can protect against coronavirusvariant"
1.3512850900773233e+18,1,"still want to take the jab? pfizerbiontech sideeffects 13 israelis suffer facial paralysis after taking pfizer covid jab, amid influx of reports detailing adverse effects"
1.377333403666686e+18,2,"this time, aerolíneas flight ar1068 goes to moscow to pick up the sputnikv vaccines. there were about 11 flights between buenos aires (argentina) and moscow (russia). ?????? follow flight ar1068 at radarbox: aerolíneasargentinas vaccines radarbox"
1.3633442210846392e+18,3,"covaxin effective against mutant virus strains: icmr ?? thanks to dr. jee &amp; health minister, dr. harsh vardhan jee for promoting india's first indigenous covid vaccine from bharat biotech !!  ??"
1.3725800128224993e+18,3,safe and effective. oxfordastrazeneca
1.3675067538905047e+18,2,the day after the moderna covid19vaccine... my arm is a little sore and i am a little more fatigued than usual. my grandparents had no noticeable effects though.
1.3808425266561147e+18,3,not a girl but part of the moderna club ?
1.3845356262681108e+18,2,when we can get moderna and pfitzer vaccine in india?
1.3815592891023603e+18,2,cameroon receives 200 000 doses of sinopharm covid-19 vaccine cameroon sinopharm vaccines covid19
1.3828447198482964e+18,2,india at 216850 new cases of coronavirus with 1183 deaths in the last 24 hours. covid19 covid covidisairborne covaxin covid?19 covid covidiots covid19india coronavirusindia coronacurfew corona worldometer covishield
1.368871727627899e+18,3,congrats to the amazing scientists who created coronavirus vaccines to end the pandemic.????? science scientists pfizer moderna astrazeneca janssen cdnpoli
1.3820022832111575e+18,2,covishield vs covaxin vs moderna/pfizer  science behind covid-19 vaccines and careers in vaccineresearch
1.382904265744683e+18,2,ethealthworld | haffkine institute gets nod to produce covaxin covaxin covidvaccine haffkineinstitute bharatbiotech production
1.3837877595050025e+18,3,"embarrassing crimea russia everything is open business as usual. ontario reporting 4250 cases of covid19 1392 new cases in toronto lockdown closed business, church ,no family, no hope mentalhealth canada get out of syria sputnikv 91.6% effective jesus"
1.3777294267844116e+18,2,officially a moderna gay ?
1.3823758910372536e+18,3,"breaking: serbia starts sputnikv production! rdif &amp; institute of virology, vaccines and sera torlak join forces to bring more sputnik v vaccines to the world!"
1.3674501869440407e+18,3,good day yesterday! my 90 year old dad got his second moderna shot! such a relief!
1.3470516032416113e+18,3,got the pfizerbiontech vaccine !!
1.3820479211604173e+18,2,"abusing atmanirbhar bharat as a political tool has now forced us to import vaccines, when in 2020 our great government peddled this warped concept to stop approved foreign vaccines from being sold in india while promoting and exporting covaxin before completing clinical trials"
1.3673533886906696e+18,3,"?its been about 10 hrs since i received the 2nd dose of moderna and i feel fine. i'm off the next two days, then back to work on saturday.? hydrate vitaminc rest selfcare mindfulness wellbeing drinkwater mywhy covid19vaccination igotmyshot"
1.381546138973573e+18,3,sputnikv at 91% efficiency is far ahead of covishield and covaxin.
1.382174087984816e+18,3,one more to go firstdosedone moderna thankful
